ID1,ID2,Distance
MN145872_1,JF727650_1,0.0025292832
MN630022_1,KY969476_1,0.0025304786
GQ376027_1,AB481088_1,0.0140546036
MN630022_1,GQ376027_1,0.034249453099999994
MN630022_1,AB481088_1,0.028670696699999998
KY969476_1,GQ376027_1,0.0335401361
KY969476_1,AB481088_1,0.0279613797
MN630022_1,JN635406_1,0.0368200365
KY969476_1,JN635406_1,0.0361107195
GQ376027_1,JN635406_1,0.0306305422
AB481088_1,JN635406_1,0.025051785800000004
MK513626_1,MK513624_1,0.0008851433
MK513626_1,MH173047_1,0.0020802807999999997
MK513624_1,MH173047_1,0.0013287321
MK513626_1,MH631016_1,0.0025942209000000003
MK513624_1,MH631016_1,0.0018426722
MH173047_1,MH631016_1,0.0026587263
MF496201_1,MK161348_1,0.002335909
MK513626_1,MF496201_1,0.0027816151
MK513626_1,MK161348_1,0.0034774001
MK513624_1,MF496201_1,0.0020300663999999998
MK513624_1,MK161348_1,0.0027258513999999998
MH173047_1,MF496201_1,0.0028461205
MH173047_1,MK161348_1,0.0035419055000000003
MH631016_1,MF496201_1,0.0017053136000000002
MH631016_1,MK161348_1,0.0024010986
MK513626_1,KT732231_1,0.0059772746
MK513624_1,KT732231_1,0.0052257258999999995
MH173047_1,KT732231_1,0.006041779999999999
MH631016_1,KT732231_1,0.0049009731
MF496201_1,KT732231_1,0.0048397312999999996
MK161348_1,KT732231_1,0.0055355162999999995
MK513626_1,KY969480_1,0.007009483800000001
MK513624_1,KY969480_1,0.0062579351000000005
MH173047_1,KY969480_1,0.0070739892
MH631016_1,KY969480_1,0.005933182300000001
MF496201_1,KY969480_1,0.0058719405
MK161348_1,KY969480_1,0.0065677255
KT732231_1,KY969480_1,0.0038282287999999998
MK513626_1,JN635404_1,0.007563184200000001
MK513624_1,JN635404_1,0.0068116355000000005
MH173047_1,JN635404_1,0.0076276896
MH631016_1,JN635404_1,0.006486882700000001
MF496201_1,JN635404_1,0.0064256409
MK161348_1,JN635404_1,0.0071214259000000005
KT732231_1,JN635404_1,0.004381929200000001
KY969480_1,JN635404_1,0.004574926
MK142916_1,MK142914_1,0.0006295472999999999
MK142916_1,KU728743_1,0.0021493639
MK142914_1,KU728743_1,0.0021497252
MK142916_1,KJ410048_1,0.0015809465
MK142914_1,KJ410048_1,0.0015813078
KU728743_1,KJ410048_1,0.0011998192
MG912592_1,KT732261_1,0.0012181528
MG912592_1,KT732259_1,0.0008996130999999999
KT732261_1,KT732259_1,0.0010900980999999999
MG912592_1,KT732239_1,0.0005205765999999999
KT732261_1,KT732239_1,0.0007110615999999999
KT732259_1,KT732239_1,0.0003886063
MG912592_1,KT732235_1,0.0005215198999999999
KT732261_1,KT732235_1,0.0007120048999999999
