ID1,ID2,Distance
MN822013_1,MN145872_1,0.00404113
MN822013_1,JF727650_1,0.00264917
MN822013_1,HM562900_1,0.0195719
MN822013_1,MN630022_1,0.0406716
MN822013_1,KY969476_1,0.0401435
MN822013_1,JN635406_1,0.0350381
MN822013_1,GQ376027_1,0.0346415
MN822013_1,AB481088_1,0.0295595
MN822013_1,MK513626_1,0.034958
MN822013_1,MK513624_1,0.0342908
MN822013_1,MH173047_1,0.034492
MN822013_1,MH631016_1,0.0345722
MN822013_1,MF496201_1,0.0345125
MN822013_1,MK161348_1,0.0353839
MN822013_1,KY969480_1,0.0330084
MN822013_1,KT732231_1,0.0322257
MN822013_1,JN635404_1,0.0324324
MN822013_1,MK142916_1,0.0367001
MN822013_1,MK142914_1,0.0367002
MN822013_1,KU728743_1,0.0364133
MN822013_1,KJ410048_1,0.0351823
MN822013_1,MG912592_1,0.0352013
MN822013_1,KT732261_1,0.0351568
MN822013_1,KT732259_1,0.0350219
MN822013_1,KT732257_1,0.0347517
MN822013_1,KT732249_1,0.0347517
MN822013_1,KT732251_1,0.0346828
MN822013_1,KT732247_1,0.0347517
MN822013_1,KT732239_1,0.0346169
MN822013_1,KT732235_1,0.0346169
MN822013_1,KT732255_1,0.0348894
MN822013_1,KT732245_1,0.0348909
MN822013_1,KT732253_1,0.0344806
MN822013_1,KT732233_1,0.0344833
MN822013_1,KT732237_1,0.0344818
MN822013_1,KT732243_1,0.0347531
MN822013_1,KT732241_1,0.0346828
MN822013_1,KJ018971_2,0.0333753
MN822013_1,KC117298_1,0.032429
MN822013_1,JN635410_1,0.0333573
MN822013_1,MF449469_1,0.0338121
MN822013_1,JN635402_1,0.0330748
MN822013_1,KT732229_1,0.0345651
MN822013_1,KT732227_1,0.0343617
MN822013_1,KT732225_1,0.0341572
MN822013_1,MK513622_1,0.0410795
MN822013_1,MK513604_1,0.0409407
MN822013_1,MK513598_1,0.0409407
MN822013_1,MK513620_1,0.0410776
MN822013_1,MK513618_1,0.0410776
MN822013_1,MK513614_1,0.0409407
MN822013_1,MK513616_1,0.0409417
MN822013_1,MK513606_1,0.041147
MN822013_1,MK513600_1,0.0410785
MN822013_1,MK513612_1,0.0410074
MN822013_1,MK513602_1,0.0410768
MN822013_1,MK513608_1,0.0410795
MN822013_1,MK513610_1,0.0408687
MN822013_1,KY969478_1,0.0382906
MN822013_1,KT732223_1,0.0379973
MN822013_1,KT732217_1,0.0379326
MN822013_1,KT732221_1,0.0377922
MN822013_1,KT732219_1,0.0375872
MN822013_1,KT732215_1,0.0379969
MN822013_1,MG912590_1,0.0333935
MN822013_1,HM439386_1,0.0333947
MN822013_1,JN635408_1,0.03526
MN822013_1,MF775733_1,0.0400462
MN822013_1,KC164758_1,0.0429883
MN822013_1,MN630020_1,0.0563284
MN822013_1,KT588921_1,0.0569913
MN822013_1,KJ755982_1,0.0557746
MN822013_1,KJ755980_1,0.0564552
MN822013_1,KJ755976_1,0.0541132
MN822013_1,MG912594_1,0.0498272
MN822013_1,KJ755978_1,0.0535612
MN822013_1,FJ161211_1,0.0524971
MN145872_1,JF727650_1,0.00252359
MN145872_1,HM562900_1,0.0186284
MN145872_1,MN630022_1,0.0406577
MN145872_1,KY969476_1,0.0401296
MN145872_1,JN635406_1,0.03556
MN145872_1,GQ376027_1,0.0346971
MN145872_1,AB481088_1,0.029816
MN145872_1,MK513626_1,0.0349451
MN145872_1,MK513624_1,0.0344134
MN145872_1,MH173047_1,0.0346145
MN145872_1,MH631016_1,0.0346946
MN145872_1,MF496201_1,0.0344996
MN145872_1,MK161348_1,0.0355062
MN145872_1,KY969480_1,0.0330629
MN145872_1,KT732231_1,0.0324173
MN145872_1,JN635404_1,0.0326215
MN145872_1,MK142916_1,0.0368895
MN145872_1,MK142914_1,0.0368896
MN145872_1,KU728743_1,0.0366023
MN145872_1,KJ410048_1,0.0353713
MN145872_1,MG912592_1,0.0353901
MN145872_1,KT732261_1,0.0353483
MN145872_1,KT732259_1,0.0352134
MN145872_1,KT732257_1,0.0349432
MN145872_1,KT732249_1,0.0349432
MN145872_1,KT732251_1,0.0348743
MN145872_1,KT732247_1,0.0349432
MN145872_1,KT732239_1,0.0348084
MN145872_1,KT732235_1,0.0348084
MN145872_1,KT732255_1,0.0350809
MN145872_1,KT732245_1,0.0350824
MN145872_1,KT732253_1,0.0346721
MN145872_1,KT732233_1,0.0346747
MN145872_1,KT732237_1,0.0346733
MN145872_1,KT732243_1,0.0349446
MN145872_1,KT732241_1,0.0348743
MN145872_1,KJ018971_2,0.0334294
MN145872_1,KC117298_1,0.0328929
MN145872_1,JN635410_1,0.0336142
MN145872_1,MF449469_1,0.0340692
MN145872_1,JN635402_1,0.0333317
MN145872_1,KT732229_1,0.0348257
MN145872_1,KT732227_1,0.0346224
MN145872_1,KT732225_1,0.0344177
MN145872_1,MK513622_1,0.0413414
MN145872_1,MK513604_1,0.0412026
MN145872_1,MK513598_1,0.0412026
MN145872_1,MK513620_1,0.0413395
MN145872_1,MK513618_1,0.0413395
MN145872_1,MK513614_1,0.0412026
MN145872_1,MK513616_1,0.0412036
MN145872_1,MK513606_1,0.0414089
MN145872_1,MK513600_1,0.0413404
MN145872_1,MK513612_1,0.0412693
MN145872_1,MK513602_1,0.0413387
MN145872_1,MK513608_1,0.0413414
MN145872_1,MK513610_1,0.0411305
MN145872_1,KY969478_1,0.0385504
MN145872_1,KT732223_1,0.0382586
MN145872_1,KT732217_1,0.038194
MN145872_1,KT732221_1,0.0380535
MN145872_1,KT732219_1,0.0378485
MN145872_1,KT732215_1,0.0382579
MN145872_1,MG912590_1,0.0335158
MN145872_1,HM439386_1,0.033517
MN145872_1,JN635408_1,0.0352465
MN145872_1,MF775733_1,0.0401626
MN145872_1,KC164758_1,0.0433141
MN145872_1,MN630020_1,0.0567336
MN145872_1,KT588921_1,0.0573958
MN145872_1,KJ755982_1,0.0561778
MN145872_1,KJ755980_1,0.0567161
MN145872_1,KJ755976_1,0.0543747
MN145872_1,MG912594_1,0.0500181
MN145872_1,KJ755978_1,0.0536818
MN145872_1,FJ161211_1,0.0528267
JF727650_1,HM562900_1,0.0179996
JF727650_1,MN630022_1,0.039591
JF727650_1,KY969476_1,0.0390636
JF727650_1,JN635406_1,0.0342327
JF727650_1,GQ376027_1,0.0335718
JF727650_1,AB481088_1,0.0285001
